price,mileage,seats,engine_size,gears,co2_emissions,power_kW,fuel_consumption_comb,age,make_model_factorized,body_type_ Convertible,body_type_ Coupe,body_type_ Off-Road/Pick-up,body_type_ Sedan,body_type_ Station wagon,warranty_Yes,gearbox_Manual,gearbox_Semi-automatic,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,colour_Black,colour_Blue,colour_Bronze,colour_Brown,colour_Gold,colour_Green,colour_Grey,colour_Orange,colour_Red,colour_Silver,colour_Violet,colour_White,colour_Yellow,drivetrain_Front,drivetrain_Rear,non_smoker_Yes,emission_sticker_No sticker,emission_sticker_Red,emission_sticker_Yellow,upholstery_Full leather,upholstery_Other,upholstery_Part leather,upholstery_Velour,upholstery_alcantara,safety_security_package_Basic,safety_security_package_Enhanced,comfort_convenience_package_Basic,comfort_convenience_package_Enhanced,ent_media_package_Basic,ent_media_package_Enhanced
21000,1000,5,1461,6,106,85,4,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21000,1000,5,1461,6,106,85,4,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21150,4500,5,1332,6,131,96,5,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25190,4018,5,1332,6,153,110,6,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24222,8000,5,1332,6,121,110,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
21990,7,5,1332,6,131,96,5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23556,10,5,1461,6,112,85,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
21990,7,5,1332,6,131,96,5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23480,12751,5,1332,6,128,110,6,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23200,1360,5,1461,6,143,85,4,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
