make_model,price,body_type,warranty,mileage,gearbox,fuel_type,colour,seats,engine_size,gears,co2_emissions,drivetrain,non_smoker,emission_sticker,upholstery,power_kW,fuel_consumption_comb,age,safety_security_package,comfort_convenience_package,ent_media_package
Dacia Duster,21000.0, Off-Road/Pick-up,Yes,1000.0,Manual,Diesel,Orange,5.0,1461.0,6.0,106.0,Front,No,Green,Other,85.0,4.58494623655914,0.0,Advanced,Advanced,Advanced
Dacia Duster,21000.0, Off-Road/Pick-up,Yes,1000.0,Manual,Diesel,Orange,5.0,1461.0,6.0,106.0,Front,No,Green,Cloth,85.0,4.58494623655914,0.0,Advanced,Advanced,Advanced
Dacia Duster,21150.0, Off-Road/Pick-up,Yes,4500.0,Manual,Benzine,Black,5.0,1332.0,6.0,131.0,Front,No,Green,Cloth,96.0,5.7,0.0,Advanced,Advanced,Advanced
Dacia Duster,25190.0, Off-Road/Pick-up,No,4018.0,Manual,Benzine,Black,5.0,1332.0,6.0,153.0,4WD,Yes,Green,Cloth,110.0,6.1,0.0,Advanced,Advanced,Advanced
Dacia Duster,24222.0, Off-Road/Pick-up,No,8000.0,Automatic,Benzine,Black,5.0,1332.0,6.0,121.0,Front,Yes,No sticker,Other,110.0,5.4,0.0,Advanced,Advanced,Advanced
Dacia Duster,21990.0, Off-Road/Pick-up,Yes,7.0,Manual,Benzine,White,5.0,1332.0,6.0,131.0,Front,Yes,Green,Part leather,96.0,5.7,0.0,Advanced,Advanced,Advanced
Dacia Duster,23556.0, Off-Road/Pick-up,No,10.0,Manual,Diesel,Orange,5.0,1461.0,6.0,112.0,Front,Yes,Green,Other,85.0,4.3,0.0,Enhanced,Advanced,Advanced
Dacia Duster,21990.0, Off-Road/Pick-up,Yes,7.0,Manual,Benzine,Orange,5.0,1332.0,6.0,131.0,Front,Yes,Green,Cloth,96.0,5.7,0.0,Advanced,Advanced,Advanced
Dacia Duster,23480.0, Off-Road/Pick-up,Yes,12751.0,Manual,Benzine,Black,5.0,1332.0,6.0,128.0,4WD,No,Green,Other,110.0,6.36358695652174,0.0,Advanced,Advanced,Advanced
Dacia Duster,23200.0, Off-Road/Pick-up,Yes,1360.0,Manual,Diesel,Grey,5.0,1461.0,6.0,143.0,4WD,Yes,Green,Cloth,85.0,4.6,0.0,Advanced,Advanced,Enhanced
Dacia Duster,21050.0, Off-Road/Pick-up,No,10.0,Manual,Benzine,Grey,5.0,1332.0,6.0,131.0,Front,No,Green,Cloth,96.0,5.7,0.0,Advanced,Advanced,Enhanced
Dacia Duster,24490.0, Off-Road/Pick-up,No,1999.0,Manual,Benzine,Black,5.0,1332.0,6.0,139.0,4WD,Yes,No sticker,Cloth,110.0,6.1,0.0,Advanced,Advanced,Advanced
Dacia Duster,26980.0, Off-Road/Pick-up,Yes,10.0,Automatic,Benzine,White,5.0,1332.0,6.0,141.0,Front,No,Green,Cloth,110.0,6.2,0.0,Enhanced,Advanced,Basic
